Date,SGLN.L.Open,SGLN.L.High,SGLN.L.Low,SGLN.L.Close,SGLN.L.Volume,SGLN.L.Adjusted
2015-01-02,1520,1538.239990234375,1504.6590576171875,1532.5,25060,1532.5
2015-01-05,1546,1565.362060546875,1543.0699462890625,1554.5,32178,1554.5
2015-01-06,1578,1584.9300537109375,1574.322021484375,1579,31496,1579
2015-01-07,1586.0159912109375,1601.010009765625,1586.0159912109375,1597.5,13802,1597.5
2015-01-08,1590,1599.8900146484375,1587,1593,58124,1593
2015-01-09,1587,1595.9200439453125,1582.7230224609375,1591.5,10880,1591.5
2015-01-12,1597.5,1609.6600341796875,1597.5,1604,13952,1604
2015-01-13,1620.5,1630.3800048828125,1612,1616,34717,1616
2015-01-14,1606.5,1616.5699462890625,1601.5689697265625,1612,8446,1612
2015-01-15,1634.5,1644.5699462890625,1599.35498046875,1652,6172,1652
2015-01-16,1640.5,1774,1636.0799560546875,1674.5,29508,1674.5
2015-01-19,1667,1673.9000244140625,1660,1666.5,14719,1666.5
2015-01-20,1683,1694.2550048828125,1674.8929443359375,1687.5,52883,1687.5
2015-01-21,1699.5,1708.949951171875,1684.31005859375,1689,15697,1689
2015-01-22,1683,1716.56005859375,1669.133056640625,1716,21471,1716
2015-01-23,1706,1718.5,1699.0240478515625,1701,38372,1701
2015-01-26,1691.5,1699.7060546875,1678.31005859375,1682.5,10881,1682.5
2015-01-27,1681.5,1686.0989990234375,1678.300048828125,1686,75805,1686
2015-01-28,1680.5,1684,1675.300048828125,1680.5,4732,1680.5
2015-01-29,1672.5,1677.2490234375,1658.2469482421875,1657,4699,1657
2015-01-30,1663,1683,1659.125,1679,12398,1679
2015-02-02,1684.5,1685,1670.031005859375,1678.5,19659,1678.5
2015-02-03,1687.5,1694.699951171875,1642.5,1649.5,13439,1649.5
2015-02-04,1650,1656,1639.81103515625,1644,150637,1644
2015-02-05,1644,1652.030029296875,1623.8399658203125,1630.5,16189,1630.5
2015-02-06,1643,1643,1601.39501953125,1599.5,48604,1599.5
2015-02-09,1614,1619,1604,1614,9977,1614
2015-02-10,1609.5,1618.030029296875,1603.97998046875,1607.5,5886344,1607.5
2015-02-11,1611,1611,1586.02001953125,1592,23559,1592
2015-02-12,1590,1595.02001953125,1574.6500244140625,1576.5,40401,1576.5
2015-02-13,1581.5,1587.5,1576.3499755859375,1584.5,42830,1584.5
2015-02-16,1588.5,1590.5999755859375,1585.5,1586.5,188911,1586.5
2015-02-17,1576.5,1579.3499755859375,1558.3499755859375,1557.5,325470,1557.5
2015-02-18,1561.5,1562.9000244140625,1547.2249755859375,1537.5,15724,1537.5
2015-02-19,1562,1569.02001953125,1549.35498046875,1551,12428,1551
2015-02-20,1553,1566,1550.3709716796875,1555,33189,1555
2015-02-23,1538,1549.5,1536.8380126953125,1539.5,16881,1539.5
2015-02-24,1545.5,1550,1531.14501953125,1532,9686,1532
2015-02-25,1543.5,1548.02001953125,1538,1541.5,17643,1541.5
2015-02-26,1554,1558,1545.7509765625,1556,26691,1556
2015-02-27,1548.5,1563.2330322265625,1548.5,1560,19158,1560
